Tue Jun 12 21:32:49 +0000 2018,$WMT Trade Setup For Experienced Investors Right Here...  https://t.co/MPZzd3ESWa
Tue Jun 12 20:20:13 +0000 2018,$BABA CLOSES HIGHER FOR THE 3RD DAY IN A ROW: https://t.co/smb8UjjfY7\\nSentiment: Neutral #BABA #Alibaba
Tue Jun 12 19:17:11 +0000 2018,"3) Alibaba\'s $BABA Hema concept is really nice. Combo of grocery store, food court (but w/ good  food), &amp; online delivery fulfillment w/ conveyor belts overhead.  Seems like a big winner."
Tue Jun 12 19:07:52 +0000 2018,$BABA Alibaba Group President Michael Evans has just taken the stage at @AmericasForum #ConfMTL to speak on Global Trade in the Digital Age.
Tue Jun 12 17:54:35 +0000 2018,"13:42 ET Volume Leader #27 - BABA 10,348,170 Alibaba Group Holding Ltd $BABA 209.31 +3.61 +1.75% High today of https://t.co/kXDB6reHPK"
Tue Jun 12 17:11:00 +0000 2018,RT @AlterViggo: Jim Chanos covered his $BABA short 9 MONTHS before he announced it. Do $TSLA shorts *really* believe he hasn\'t already cove\\u2026
Tue Jun 12 16:50:53 +0000 2018,Jim Chanos covered his $BABA short 9 MONTHS before he announced it. Do $TSLA shorts *really* believe he hasn\'t already covered is #Tesla position? $TSLAQ\\n\\nhttps://t.co/IsWVjmG5yj
Tue Jun 12 16:21:31 +0000 2018,RT @AlibabaPRGuy: The next phase of New Retail: RT-Mart has finished a months-long digital transformation of a quarter of its 400 using Ali\\u2026
Tue Jun 12 16:17:10 +0000 2018,Chinese e-commerce giant\\u00a0Alibaba $BABA has a \\u201cmoderate buy\\u201d analyst consensus rating with big upside potential of 15.3%.The last ten months this stock has received no hold or sell ratings from the Street. Just 100% buy ratings.\\n#stocks \\n#StockMarket \\n#investing \\n#stockstowatch
Tue Jun 12 16:05:01 +0000 2018,The next phase of New Retail: RT-Mart has finished a months-long digital transformation of a quarter of its 400 using Alibaba\\u2019s Hema as a model.  The aim is to improve the overall shopping experience. https://t.co/YY80qRjXNn \\u2026 $BABA @AlibabaGroup
Tue Jun 12 14:19:12 +0000 2018,hurray...a bonus\\n\\nis Nvidia $NVDA a good stock to buy and squirrel away forever??\\n\\nor Alibaba $BABA ??
Tue Jun 12 12:20:23 +0000 2018,Alibaba the leading global disruptor.\\n\\n\\
Tue Jun 12 10:39:26 +0000 2018,RT @bibeypost_stock: Iconiq Capital LLC Stake in Alibaba Group Hldg LTD $BABA Decreased by $8.16 Million - https://t.co/EvfqTR1s2x
Tue Jun 12 10:37:52 +0000 2018,Iconiq Capital LLC Stake in Alibaba Group Hldg LTD $BABA Decreased by $8.16 Million - https://t.co/EvfqTR1s2x
Tue Jun 12 10:24:23 +0000 2018,Alibaba\\u2019s Ant Financial fintech affiliate raises $14 billion to continue its global expansion \\u2013 TechCrunch $BABA https://t.co/8wKHbkSone
Tue Jun 12 09:59:22 +0000 2018,Regarding #USTRADE-Last time USFarmers were stuck @ last minute\\n w/No buyers 4crops...\\n#ALIBABA Stepped in and succeeded \\niN #MATCHING #chinaBUYERS &amp; #USSELLERS For a lot of #Calif Farmers\\n\\uff5eI remember- Almonds &amp; Cherries...I hope it doesn\'t get that bad\\nBut $BABA really helped
Tue Jun 12 03:05:48 +0000 2018,Analysts Anticipate Alibaba Group Holding Ltd $BABA Will Post Earnings of $1.44 Per Share https://t.co/bIaNeyWnfo
Tue Jun 12 02:19:00 +0000 2018,$1.44 Earnings Per Share Expected for Alibaba Group Holding Ltd $BABA This Quarter https://t.co/4XpmEzYFNd
Tue Jun 12 02:09:31 +0000 2018,$13.09 Billion in Sales Expected for Alibaba Group Holding Ltd $BABA This Quarter https://t.co/nFuqN4QArs
Tue Jun 12 02:07:05 +0000 2018,Alibaba Group Holding Ltd $BABA Expected to Post Quarterly Sales of $13.09 Billion https://t.co/CFwixLLt7J
Tue Jun 12 23:38:01 +0000 2018,$GOOGL $FB Apple\'s App Store Privacy Crackdown May Hurt Facebook\'s Onavo via https://t.co/jURZDymPXI
Tue Jun 12 23:35:29 +0000 2018,Boycott these companies that put left-wing politics ahead of their product:\\n\\n@Disney $DIS\\n@ESPN\\n@ABC\\n@Facebook $fb\\n@Amazon $amzn\\n@CNN\\n@Starbucks $sbux\\n@Google $googl\\n@Apple $aapl\\n@Netflix $nflx\\n@Expedia $expe\\n@NFL\\n@TripAdvisor $trip\\n@Hulu $hulu\\n\\n#tcot #kag #maga
Tue Jun 12 23:04:49 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Tue Jun 12 22:55:10 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Tue Jun 12 22:47:10 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Tue Jun 12 22:25:31 +0000 2018,"Google, Facebook, Twitter face new House panel hearing on anti-Conservative bias. #Shadowbanned #TwitterGulag #MSM #1984 #BigBrother Censorship https://t.co/KxLhHQaQEc $GOOG $GOOGL $FB $TWTR"
Tue Jun 12 22:07:34 +0000 2018,RT @DanRusso_CMT: @LanceRoberts @michaellebowitz @zerohedge Hitting the bids of all the summer summer interns who followed the advice in th\\u2026
Tue Jun 12 21:49:08 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Tue Jun 12 21:42:12 +0000 2018,"RT @Reuters: Volatility may hit Wall Street as Alphabet, Facebook leave tech sector group https://t.co/fPEAZ7ma4g by @randewich @ChuckMik $\\u2026"
Tue Jun 12 21:42:11 +0000 2018,"RT @Reuters: Volatility could well be in the cards for Wall Street again early this fall, but not for the same reason stocks got rattled in\\u2026"
Tue Jun 12 21:39:02 +0000 2018,The impressive revenue growth coming from @Instagram is certainly no secret to investors of parent company @Facebook: https://t.co/Z4tddehuS7 $FB
Tue Jun 12 21:27:42 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Tue Jun 12 21:19:03 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Tue Jun 12 21:18:33 +0000 2018,VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Tue Jun 12 21:05:13 +0000 2018,"RT @AmyLewis1414: FB ads to come under user scrutiny \\n\\nhttps://t.co/Z4YVbR6W9K\\n\\n#Facebook, #Data, #Breach, #Cambridge, #Analytica, #Mark, #\\u2026"
Tue Jun 12 21:04:14 +0000 2018,"FB ads to come under user scrutiny \\n\\nhttps://t.co/rx4VKZwYxg\\n\\n#Facebook, #Data, #Breach, #Cambridge, #Analytica, #Mark, #Zuckerberg, $FB https://t.co/Z5H2whunLd"
Tue Jun 12 21:03:48 +0000 2018,"FB ads to come under user scrutiny \\n\\nhttps://t.co/Z4YVbR6W9K\\n\\n#Facebook, #Data, #Breach, #Cambridge, #Analytica, #Mark, #Zuckerberg, $FB https://t.co/oBJtC4ThQu"
Tue Jun 12 20:44:59 +0000 2018,Instagram goes down for many users\\nhttps://t.co/q8j59OyhJc\\n\\n$FB #Instagram #instagramdown #instagramisdown #Facebook $SNAP #snapchat #vero #Netflix #netflixdown #SocialMedia #Twitter #instagrammers #igers #photo
Tue Jun 12 20:43:23 +0000 2018,"As Facebook struggles to restore its tattered public image, a new threat emerges from a fellow FANG companion https://t.co/jsFPQ4Nwep  $AAPL $FB https://t.co/aq1DDpaQ8n"
Tue Jun 12 20:19:46 +0000 2018,$FB CLOSES WITHIN PRIOR DAY\'S RANGE AFTER LACKLUSTER SESSION: https://t.co/I9TUpaaOTR\\nSentiment: Neutral #FB #Facebook
Tue Jun 12 19:54:12 +0000 2018,Raymond James Trust Increased Its Facebook $FB Holding; Jhl Capital Group Has Increased Stake in Vale S A $VALE - https://t.co/SfSWvjprwE
Tue Jun 12 19:33:14 +0000 2018,$FB Facebook denies building eye-tracking software https://t.co/anKakmjAn1
Tue Jun 12 19:33:14 +0000 2018,$FB Facebook tells Congress it uses security app Onavo to analyze what people are doing in other apps https://t.co/aQy9hppyAd
Tue Jun 12 19:33:13 +0000 2018,$FB Oculus founder Palmer Luckey on his time at Facebook: \'Be careful who you trust\' https://t.co/TSupFhPUrZ
Tue Jun 12 19:07:44 +0000 2018,Facebook: Instagram\\u2019s the \\u2018Key\\u2019 to Keeping Growth Chugging https://t.co/VRkiY0F5Pv via @BarronsNext This is not a compelling argument $FB
Tue Jun 12 18:59:58 +0000 2018,RT @TraderStef: #DataGate - $FB #Facebook Gave Device Makers Deep Access to Data on Users and Friends- Misled Congress https://t.co/MNT8M1G\\u2026
Tue Jun 12 18:58:51 +0000 2018,"Has all the attention on $FB (&amp; its tortured responses) tied the company\\u2019s business strategy into a Gordian Knot? @facebook says its primary goal is to \\u201cConnect people\\u201d &amp; encourage \\u201cquality time\\u201d on the platform. But if that were the case, Facebook would look a lot different. It"
Tue Jun 12 18:50:26 +0000 2018,RT @DanRusso_CMT: @LanceRoberts @michaellebowitz @zerohedge Hitting the bids of all the summer summer interns who followed the advice in th\\u2026
Tue Jun 12 18:34:12 +0000 2018,"@LanceRoberts @michaellebowitz @zerohedge Hitting the bids of all the summer summer interns who followed the advice in the USA Today article over the weekend. Here it is if you have not seen it yet. $FB, $AMZN, $NFLX, $GOOGL\\n\\nhttps://t.co/JCdbnN2ajy"
Tue Jun 12 18:30:54 +0000 2018,Facebook denies building eye-tracking software\\n\\nNever Trust Facebook.\\n$FB https://t.co/iaCd3c3ZsY
Tue Jun 12 18:22:34 +0000 2018,Facebook\'s Instagram Could Generate Nearly $9 Billion in Sales This Year $FB @facebook @instagram https://t.co/Xk6ebaNZsc
Tue Jun 12 18:08:54 +0000 2018,.@Department of @TheJusticeDept AG for Antitrust Makan Delrahim @Open_Markets on @ATT @Google @facebook https://t.co/jRvQVA1jKp $T $GOOGL $FB #antitrust
Tue Jun 12 18:05:23 +0000 2018,RT @SMNewsdaily: RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia\\u2026
Tue Jun 12 18:04:29 +0000 2018,"13:42 ET Volume Leader #54 - FB 6,309,728 Facebook Inc $FB 192.88 +1.34 +0.70% High today of 193.06 day low 19 https://t.co/UO2tMGBxEE"
Tue Jun 12 18:01:03 +0000 2018,"Google, Facebook, Twitter face new House panel hearing https://t.co/kdJyc8sgZF $GOOG $GOOGL $FB $TWTR"
Tue Jun 12 18:01:02 +0000 2018,"Google, Facebook, Twitter face new House panel hearing https://t.co/bX8UN1Jxyn $GOOG $GOOGL $FB $TWTR"
Tue Jun 12 17:51:52 +0000 2018,RT @SMNewsdaily: RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia\\u2026
Tue Jun 12 17:51:36 +0000 2018,RT @SMNewsdaily: RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia\\u2026
Tue Jun 12 17:48:55 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 17:38:28 +0000 2018,".@Instagram has secured @Facebook\'s future, analysts say: https://t.co/4bVZkIRobq $FB"
Tue Jun 12 17:22:14 +0000 2018,\\
Tue Jun 12 17:21:48 +0000 2018,"RT @bthefirsttoknow: GOOGLE, TWITTER, FACEBOOK ASKED TO TESTIFY JUNE 26: $FB $GOOG $GOOGL $TWTR"
Tue Jun 12 17:21:33 +0000 2018,"GOOGLE, TWITTER, FACEBOOK ASKED TO TESTIFY JUNE 26: $FB $GOOG $GOOGL $TWTR"
Tue Jun 12 16:59:10 +0000 2018,Facebook is using the news feed to sell Oculus Rift. $FB https://t.co/LQfOlpx9yJ
Tue Jun 12 16:48:10 +0000 2018,Facebook tweaks News Feed\'s UI and asks people to \\
Tue Jun 12 16:31:40 +0000 2018,free money for $FB --&gt; Survey finds wide interest in Facebook dating service https://t.co/3m9AihDKGS
Tue Jun 12 15:59:38 +0000 2018,Facebook denies building eye-tracking software $FB
Tue Jun 12 15:55:14 +0000 2018,RT @MattRosoff: I think Onavo is one of the most important and little-known parts of Facebook\'s genius product strategy. Here\'s what the co\\u2026
Tue Jun 12 15:53:32 +0000 2018,RT @presiamapp: Yet another statistic about people leaving Facebook. More and more young people are leaving Facebook. Why? Facebook does no\\u2026
Tue Jun 12 15:53:29 +0000 2018,RT @presiamapp: $FB - Facebook Gave Device Makers Deep Access to Data on Users and Friends. WTF! https://t.co/fHLOFdH8qf\\nPresiam will NEVER\\u2026
Tue Jun 12 15:53:11 +0000 2018,"RT @presiamapp: DID YOU KNOW: $FB - Facebook entered into a data-sharing agreement with Huawei, a Chinese firm flagged as a national securi\\u2026"
Tue Jun 12 15:48:39 +0000 2018,"Facebook Says its Competitors Are the Whole Internet, Because Facebook Is the Internet $FB - https://t.co/t9NNi2YLGc"
Tue Jun 12 15:47:28 +0000 2018,RT @MarketsUpChuck: $CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ\\nhttps://t.co/mIDMA3SjHv https://t.co/OffCxT85Hk
Tue Jun 12 15:42:43 +0000 2018,$CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ\\nhttps://t.co/mIDMA3SjHv https://t.co/OffCxT85Hk
Tue Jun 12 15:42:31 +0000 2018,"Bloomberg: Why Executives at Facebook, Amazon, Netflix, &amp; Google have sold nearly $5B of stock this year?\\n$FB $AMZN $NFLX $GOOGL \\ud83e\\udd14\\nNon event \\ud83d\\udd75\\ufe0f\\u200d\\u2642\\ufe0f"
Tue Jun 12 15:42:29 +0000 2018,Facebook denies building the eye-tracking software it\'s hinted at $FB - https://t.co/aVhuFjwGfr
Tue Jun 12 15:41:31 +0000 2018,$CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ https://t.co/4et6httxlM https://t.co/30L62ncEkb
Tue Jun 12 15:39:07 +0000 2018,$CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ https://t.co/wnFZcL5YzC
Tue Jun 12 15:34:28 +0000 2018,I think Onavo is one of the most important and little-known parts of Facebook\'s genius product strategy. Here\'s what the company told Congress about how it uses data from Onavo to analyze what people are doing with non-Facebook apps. $FB https://t.co/sDbspwhcvu
Tue Jun 12 14:56:51 +0000 2018,Facebook $FB reveals all the ways it tracks user behavior  https://t.co/GWFuAe9Xxw
Tue Jun 12 14:48:10 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 14:32:48 +0000 2018,"RT @YahooFinance: LIVE: Stocks we\'re watching today: Facebook, Tesla, Home Depot, McDonald\'s and Amazon. https://t.co/whg09YKUQl $FB $TSLA\\u2026"
Tue Jun 12 14:28:21 +0000 2018,"$FB Facebook launches user review, potential bans for advertisers https://t.co/hOIwPHikKA"
Tue Jun 12 14:27:02 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 14:22:02 +0000 2018,How to Verify Your Facebook Business Page &amp; Increase its Ranking https://t.co/rcQrt5sKbB $FB https://t.co/bdxk3HPEgj
Tue Jun 12 14:05:36 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 14:00:58 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 13:58:12 +0000 2018,RT @presiamapp: Facebook doesn\'t pay you anything. They won\'t but what if they did? Presiam does and here\'s how we do it. Read our post abo\\u2026
Tue Jun 12 13:55:16 +0000 2018,RT @presiamapp: Yet another statistic about people leaving Facebook. More and more young people are leaving Facebook. Why? Facebook does no\\u2026
Tue Jun 12 13:55:10 +0000 2018,RT @presiamapp: $FB - Facebook Gave Device Makers Deep Access to Data on Users and Friends. WTF! https://t.co/fHLOFdH8qf\\nPresiam will NEVER\\u2026
Tue Jun 12 13:54:47 +0000 2018,"RT @presiamapp: DID YOU KNOW: $FB - Facebook entered into a data-sharing agreement with Huawei, a Chinese firm flagged as a national securi\\u2026"
Tue Jun 12 13:53:21 +0000 2018,"The latest from Chicago Crime Commission:\\n59 gangs, but more than 50% gang members are:\\nGangster Disciples, Latin Kings, Black P Stones. \\n100,000+ gang members.\\nAnd gangs love social media.\\nEspecially #Facebook.\\n$FB #socialmedia \\n#tuesdaythoughts\\nhttps://t.co/Zbu3SeoWDu"
Tue Jun 12 13:53:12 +0000 2018,Facebook turns in 450 pages of follow-up answers to Congress $FB $TWTR $SNAP https://t.co/jEvRGrcaYc
Tue Jun 12 13:43:41 +0000 2018,"LIVE: Stocks we\'re watching today: Facebook, Tesla, Home Depot, McDonald\'s and Amazon. https://t.co/whg09YKUQl $FB $TSLA $HD $MCD $AMZN https://t.co/yR08RmxPUa"
Tue Jun 12 13:42:20 +0000 2018,Instagram looks like it will be a gold mine for @Facebook stock $FB https://t.co/itKK3qhyel https://t.co/8gQssFZhh3
Tue Jun 12 13:40:44 +0000 2018,"Investors Sell Facebook, Inc. Common Stock $FB on Strength on Insider Selling https://t.co/zccMR91ygi"
Tue Jun 12 13:30:54 +0000 2018,Natasha Lamb of Arjuna Capital speaks about her troubles engaging with Facebook on gender issues #CorpGov $FB https://t.co/CyXqOxAVZZ
Tue Jun 12 13:29:31 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevision  Next #Facebook #Netflix type revenue models #Investment\\n$MSMY #lifechanger  $Fusz $Celz $Fb $Rnva $Andi $Nwbo $S\\u2026 https://t.co/Ba8OnJVVKn
Tue Jun 12 13:29:06 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 13:28:54 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 13:28:39 +0000 2018,RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevisio\\u2026
Tue Jun 12 13:28:25 +0000 2018,$MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia #Networktelevision  Next #Facebook #Netflix type revenue models #Investment\\n$MSMY #lifechanger  $Fusz $Celz $Fb $Rnva $Andi $Nwbo $Swhi $Kblb $Wrfx $Onci $Libe $Biel $MSMY https://t.co/1ssuFUSdOp
Tue Jun 12 13:27:40 +0000 2018,Facebook is cracking down on businesses that lie to customers in their ads $FB - https://t.co/EB2adStC8w
Tue Jun 12 13:23:35 +0000 2018,RT @SeekingAlpha: $CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ https://t.co/d5EhntmyL8
Tue Jun 12 13:19:24 +0000 2018,$CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ https://t.co/d5EhntmyL8
Tue Jun 12 12:30:13 +0000 2018,RT @Hotpage_News: Facebook is tracking you in ways you never knew - here\'s the crazy amount of data it sucks up $FB - https://t.co/19DPJi7x\\u2026
Tue Jun 12 12:22:02 +0000 2018,Facebook is tracking you in ways you never knew - here\'s the crazy amount of data it sucks up $FB - https://t.co/19DPJi7x8Q
Tue Jun 12 12:21:23 +0000 2018,Facebook Will Ban Sellers of Shoddy Products $FB - https://t.co/kDfeii3uAY
Tue Jun 12 12:12:11 +0000 2018,"Vietnam passes cyber law that could hurt Facebook, Google $FB $GOOG $GOOGL https://t.co/3JdMMqwzb1"
Tue Jun 12 12:02:50 +0000 2018,Is $AAPL Out to Break $FB? https://t.co/F7P50uUuoE
Tue Jun 12 11:55:35 +0000 2018,Why #Facebook May Be In Trouble..Again $FB https://t.co/vVvGMjRz2e
Tue Jun 12 11:51:45 +0000 2018,"Vietnam passes cyber law that could hurt Facebook, Google https://t.co/4nxCEeTSXT #premarket $FB $GOOG $GOOGL"
Tue Jun 12 11:51:44 +0000 2018,"Vietnam passes cyber law that could hurt Facebook, Google https://t.co/9pss2Zipwu #premarket $FB $GOOG $GOOGL"
Tue Jun 12 11:51:43 +0000 2018,"Mastercard $MA Share Price Rose While Umb Bank N A Has Decreased Its Stake by $441,700; Facebook $FB Holder Sta Wealth Management Has Lowered Holding https://t.co/DZLP0tCSL7"
Tue Jun 12 11:17:28 +0000 2018,"Fact &gt;&gt; #Amazon, #Facebook, #Twitter, And #Google Let #Hate Profiteers Police Your Accounts https://t.co/A3x4gfya3M #SPLC $FB $AMZN $TWTR $GOOG"
Tue Jun 12 11:10:14 +0000 2018,"Facebook, Inc. Common Stock $FB to Post FY2020 Earnings of $10.52 Per Share, KeyCorp Forecasts https://t.co/iSoEpaA6v8 #stocks"
Tue Jun 12 11:08:31 +0000 2018,"Facebook, Inc. Common Stock $FB to Post FY2020 Earnings of $10.52 Per Share, KeyCorp Forecasts https://t.co/0GSwQfyU12"
Tue Jun 12 11:05:27 +0000 2018,"Facebook, Inc. Common Stock $FB CEO Mark Zuckerberg Sells 440,000 Shares of Stock https://t.co/Gr9JM255Rv"
Tue Jun 12 10:21:17 +0000 2018,"Facebook, Inc. Common Stock $FB to Post FY2020 Earnings of $10.52 Per Share, KeyCorp Forecasts https://t.co/iukdCvaAHZ"
Tue Jun 12 10:21:06 +0000 2018,"KeyCorp Sets Facebook, Inc. Common Stock FY2020 Earnings Estimates at $10.52 EPS. https://t.co/q6oqnkiQPr $FB #FB"
Tue Jun 12 10:09:58 +0000 2018,Financial Partners Capital Management Stake in Facebook  $FB Has Trimmed as Valuation Declined; Jpmorgan Chase &amp; Co $JPM Shareholder Ameritas Investment Partners Has Decreased Holding by $1.84 Million as Stock Value Declined https://t.co/ueSSRPD0po
Tue Jun 12 09:30:06 +0000 2018,$FB - Facebook Will Ban Sellers of Shoddy Products https://t.co/8osMCzNj88
Tue Jun 12 09:30:05 +0000 2018,$FB - Facebook Will Ban Sellers of Shoddy Products https://t.co/5w1sMZWZlv
Tue Jun 12 09:13:43 +0000 2018,"Facebook, Inc. Common Stock $FB Upgraded by Jefferies Financial Group to \\u201cBuy\\u201d https://t.co/Zr4Pvae3Oh"
Tue Jun 12 08:33:21 +0000 2018,"Did Data Scandal sink #Facebook, the social networking website? https://t.co/8AEtGqPOOf $FB #Elliottwave"
Tue Jun 12 08:32:53 +0000 2018,$FB 25 March update: #Facebook Data scandal provided great buying opportunity at the 100% in blue box. Now it has made new high #elliottwave https://t.co/jszAoBHQee
Tue Jun 12 08:22:40 +0000 2018,"Facebook, Inc. Common Stock $FB CEO Mark Zuckerberg Sells 440,000 Shares of Stock https://t.co/Wpdh75ird8"
Tue Jun 12 08:18:45 +0000 2018,KeyBanc: Instagram key to new leg of growth at Facebook https://t.co/yF0Tr0A0Tx $FB
Tue Jun 12 08:16:20 +0000 2018,Now Snapchat lets you unsend messages like Facebook promised $SNAP $FB
Tue Jun 12 07:02:40 +0000 2018,"Facebook turns in 450 pages of follow-up answers to Congress https://t.co/Fp4nqjA136 $FB, $TWTR, $SNAP"
Tue Jun 12 05:35:12 +0000 2018,"Investors Sell Facebook, Inc. Common Stock $FB on Strength on Insider Selling https://t.co/fnEUzAufUX"
Tue Jun 12 04:23:35 +0000 2018,$FB The Wall Street Journal: Facebook gives lawmakers 450 pages of answers from April hearings https://t.co/aG1I0P7ivD
Tue Jun 12 04:23:35 +0000 2018,"$FB Vietnam lawmakers approve cyber law, tighten rules on Google, Facebook https://t.co/NQSy12fN0v"
Tue Jun 12 04:08:57 +0000 2018,Facebook turns in 450 pages of follow-up answers to Congress $FB $TWTR $SNAP https://t.co/TKEFAK5lvm
Tue Jun 12 03:41:20 +0000 2018,"Investors Sell Shares of Facebook, Inc. Common Stock $FB on Strength on Insider Selling https://t.co/0OlG1AqAlM"
Tue Jun 12 03:39:16 +0000 2018,"Investors Sell Shares of Facebook, Inc. Common Stock $FB on Strength on Insider Selling https://t.co/bLYo0C82kv"
Tue Jun 12 03:33:38 +0000 2018,Please read this it means nothing!!! FB will do what the do /// Facebook turns in 450 pages of follow-up answers to Congress $FB $TWTR $SNAP https://t.co/MYMzerFi7G
Tue Jun 12 03:33:02 +0000 2018,RT @businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/RY9taFN7Vn
Tue Jun 12 03:24:57 +0000 2018,I just watched a Facebook commercial. That\\u2019s a first. $FB
Tue Jun 12 02:49:01 +0000 2018,Facebook turns in 450 pages of follow-up answers to Congress $FB $TWTR $SNAP https://t.co/zxRbKTm5ei
Tue Jun 12 02:45:58 +0000 2018,RT @MarketCurrents: Facebook turns in 450 pages of follow-up answers to Congress https://t.co/7sRjqICSWY $FB $TWTR $SNAP
Tue Jun 12 02:39:27 +0000 2018,Facebook turns in 450 pages of follow-up answers to Congress https://t.co/tzNIr5pypz $FB $TWTR $SNAP
Tue Jun 12 02:39:27 +0000 2018,Facebook turns in 450 pages of follow-up answers to Congress https://t.co/7sRjqICSWY $FB $TWTR $SNAP
Tue Jun 12 02:33:00 +0000 2018,Good move $FB https://t.co/XOv3Y098zr
Tue Jun 12 02:27:47 +0000 2018,"Saber Capital: Common Denominator of Tencent, Facebook, Google @InvestorAlmanac $TCEHY $FB $GOOG $GOOGL $NFLX $JD $AAPL $AMZN $QQQ https://t.co/KQRprogsHV"
Tue Jun 12 02:22:37 +0000 2018,"RT @StansberryWire: Facebook Gives Lawmakers Follow-Up Answers, but Not Much Is New https://t.co/D6JRN62iiS  $FB $GOOGL $TWTR"
Tue Jun 12 02:22:04 +0000 2018,"Facebook Gives Lawmakers Follow-Up Answers, but Not Much Is New https://t.co/D6JRN62iiS  $FB $GOOGL $TWTR"
Tue Jun 12 02:12:01 +0000 2018,$FB - Facebook Delivers 450-Page Homework Assignment to Congress https://t.co/YIr5qZWwI8
Tue Jun 12 02:12:01 +0000 2018,$FB - Facebook Delivers 450-Page Homework Assignment to Congress https://t.co/mQ7jVG3bT5
Tue Jun 12 01:38:01 +0000 2018,$FB Facebook Tells Senate It Started a Privacy Design Lab Called TTC via https://t.co/jURZDymPXI
Tue Jun 12 01:14:51 +0000 2018,"2\\ufe0f\\u20e3 Streamers bring audience with them to $FB, establishing https://t.co/yMZrj8LxhO as destination for esports.\\n3\\ufe0f\\u20e3 In turn, larger audience will come to platform when rights-based tournaments such as #ESL are streamed. Acquiring streamers only way to change viewing habits."
Tue Jun 12 00:46:11 +0000 2018,via RichBTIG: Instagram and Facebook on stage June 21st @VidCon #vidcon\\nSession: \\
Tue Jun 12 22:14:21 +0000 2018,"RT @androsForm: $EBAY will start selling products on a relatively new Middle Eastern e-commerce venture in the second half of the year, the\\u2026"
