Wed Jun 13 23:24:12 +0000 2018,"Walmart Inc $WMT Director Sells $92,971,098.88 in Stock https://t.co/Vb3RlI4PLe #stocks"
Wed Jun 13 15:20:16 +0000 2018,Zuckerberg Mentor: We Can\'t Leave It to Audiences to Decide What Is Fake News $FB #FB #FaceBook #CongressBook #SpyBook #DataBreach #Privacy Gone biggest facial recognition heist of the century! #Markets #StockMarket #Tech #Dumbo Gitmo! @RealDonaldTrump https://t.co/YKmsX27gIX
Wed Jun 13 15:17:14 +0000 2018,Facebook Avoids Answering Dozens of Follow-Up Questions from Senate  $FB #FB #FaceBook #CongressBook #SpyBook #DataBreach #Privacy Gone biggest facial recognition heist of the century!! #Markets #StockMarket #Tech #Dumbo gitmo! #TickTock @RealDonaldTrump  https://t.co/xrqJ9v8gH6
Wed Jun 13 15:15:07 +0000 2018,Facebook Admits to Sharing User Data with Huawei $FB #FB #FaceBook #CongressBook #SpyBook #DataBreach #Privacy Gone biggest facial recognition heist of the century!! #Markets #StockMarket #Tech #Dumbo gitmo! @RealDonaldTrump https://t.co/lZNUPQEJeF
Wed Jun 13 15:13:07 +0000 2018,Add Treason to the list! $FB #FB #FaceBook #CongressBook #SpyBook #DataBreach #Privacy Gone biggest facial recognition heist of the century!! #Markets #StockMarket #Tech #Dumbo gitmo! @RealDonaldTrump https://t.co/QgptvUAgKB
Wed Jun 13 15:06:18 +0000 2018,I really don\\u2019t see Facebook as $FB\\u2019s cash cow for very much longer. Thankfully they have Instagram and WhatsApp to make up for their mistakes in the social media sphere moving forward. Hopefully these platforms can be monetized to their full potential with minimal negative impact https://t.co/DchYyT5WMt
Wed Jun 13 15:04:07 +0000 2018,RT @tpiwholesale: Former Director: FTC Will Become More Inclined to Impose Penalties on Facebook $FB #FB #FaceBook #CongressBook #SpyBook #\\u2026
Wed Jun 13 15:03:46 +0000 2018,Former Director: FTC Will Become More Inclined to Impose Penalties on Facebook $FB #FB #FaceBook #CongressBook #SpyBook #DataBreach #Privacy Gone biggest facial recognition heist of the century!! #Markets #StockMarket #Tech #Dumbo gitmo! @RealDonaldTrump https://t.co/Rwb92lfsbw
Wed Jun 13 14:52:56 +0000 2018,RT @SMNewsdaily: RT @LionofWallst7: $MSMY Parent company of $Mgon  #Dividends BUY! #Vod Video on Demand  Imo Target:Dollars   #Socialmedia\\u2026
Wed Jun 13 14:48:00 +0000 2018,RT @OphirGottlieb: https://t.co/LvqwSE6CWW\\nFacebook won\\u2019t rule out listening to your conversations in the future\\n-\\n$FB
Wed Jun 13 14:37:49 +0000 2018,https://t.co/LvqwSE6CWW\\nFacebook won\\u2019t rule out listening to your conversations in the future\\n-\\n$FB
Wed Jun 13 14:35:39 +0000 2018,RT @drastichs: #Facebook spent $8.8million Zuckerberg\'s security and travel last year\\u00a0 https://t.co/ozH834L8vR via @MailOnline\\n$FB #stocks\\u2026
Wed Jun 13 14:35:32 +0000 2018,RT @drastichs: What #Facebook told #Congress: It even knows when you need to charge your phone\\n\\n$FB #stocks #news #Zuckerberg\\n\\nhttps://t.co\\u2026
Wed Jun 13 14:18:31 +0000 2018,RT @MarketsUpChuck: $CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ\\nhttps://t.co/mIDMA3SjHv https://t.co/OffCxT85Hk
Wed Jun 13 14:15:26 +0000 2018,"@JoeConchaTV Has Google, Facebook &amp; Twitter received the memo? In my $FB timeline whenever I hit a conservative article nothing appears. Are they intentionally making it more difficult to read another point of view?"
Wed Jun 13 14:10:53 +0000 2018,$FB https://t.co/ZTIcvY9i8x Pot. resume Downtrend in pullback INTRAWEEK 60m-15m-4m combo chart #Facebook #Trading https://t.co/FD6DV4AEgp
Wed Jun 13 13:52:12 +0000 2018,Facebook\'s Instagram Adds Yet Another E-Commerce Feature @themotleyfool #stocks $FB https://t.co/RdQAY0HwvY #hiconversion #shopify #ecommerce
Wed Jun 13 13:36:56 +0000 2018,Facebook may start tracking the movement of your eyes $FB - https://t.co/0T8vA3WzOr
Wed Jun 13 13:11:47 +0000 2018,@instagram is a huge asset for $FB @facebook .  #Instagram #Facebook #stockstowatch https://t.co/17E6ZcWEPs
Wed Jun 13 12:10:05 +0000 2018,$FB (@facebook) is an advertising company. Not curing cancer.\\n\\nhttps://t.co/6hcnRofcKB
Wed Jun 13 12:04:25 +0000 2018,#Facebook spent $8.8million Zuckerberg\'s security and travel last year\\u00a0 https://t.co/ozH834L8vR via @MailOnline\\n$FB #stocks #news
Wed Jun 13 11:57:51 +0000 2018,What #Facebook told #Congress: It even knows when you need to charge your phone\\n\\n$FB #stocks #news #Zuckerberg\\n\\nhttps://t.co/dSWntIhXsD
Wed Jun 13 11:34:32 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 11:21:23 +0000 2018,"Been hearing this for years - at a firm I worked at in 2013, we had an impromptu survey on $FB usage-looked like a disaster. Key is they were (and are) just monetizing the 2B users (sometimes illegally).  I dislike the company - but they keep printing money.  $QQQ $SPX @facebook https://t.co/lBCVwAcJz3"
Wed Jun 13 11:06:33 +0000 2018,"Head to Head Survey: TrueCar $TRUE and Facebook, Inc. Common Stock $FB https://t.co/gakGb5kxMP"
Wed Jun 13 10:28:25 +0000 2018,$FB $SHOP Facebook\'s Instagram Adds Yet Another E-Commerce Feature https://t.co/ilnfCNltST
Wed Jun 13 10:28:23 +0000 2018,"$AMZN $FB $GOOG $GOOGL Amazon, Alphabet, and Facebook Shine in Mary Meeker\'s 2018 Internet Trends Report https://t.co/rV9tOG99cF"
Wed Jun 13 10:01:08 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 08:28:08 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 08:18:24 +0000 2018,"Mark Zuckerberg Sells 440,000 Shares of Facebook, Inc. Common Stock $FB Stock https://t.co/iapraWdqVQ"
Wed Jun 13 06:59:37 +0000 2018,"Head to Head Survey: TrueCar $TRUE and Facebook, Inc. Common Stock $FB https://t.co/dEAQ31Nb3l"
Wed Jun 13 05:49:38 +0000 2018,"markfidelman : Just a few years ago, BarronsOnline believed Facebook $FB was only worth $15 - Boy were they wrong https://t.co/OGc5AoZSYh (via Twitter https://t.co/ec3wAXoKZK) https://t.co/R3zCeDvSkk"
Wed Jun 13 05:41:11 +0000 2018,"markfidelman : Just a few years ago, BarronsOnline believed Facebook $FB was only worth $15 - Boy were they wrong https://t.co/WyxYoqSF7o (via Twitter https://t.co/yw3Uya3a0h) https://t.co/NGB9SFoSYW"
Wed Jun 13 05:40:02 +0000 2018,"RT @markfidelman: Just a few years ago, @BarronsOnline believed Facebook $FB was only worth $15 - Boy were they wrong https://t.co/GaMdGeNE\\u2026"
Wed Jun 13 05:39:17 +0000 2018,"Just a few years ago, @BarronsOnline believed Facebook $FB was only worth $15 - Boy were they wrong https://t.co/GaMdGeNEyt"
Wed Jun 13 05:34:07 +0000 2018,"Traders Sell Shares of Facebook, Inc. Common Stock $FB on Strength Following Insider Selling https://t.co/qiYBqZYAt5"
Wed Jun 13 05:33:58 +0000 2018,"Investors Sell Shares of Facebook, Inc. Common Stock $FB on Strength Following Insider Selling https://t.co/fQTYWEg4Va"
Wed Jun 13 05:32:22 +0000 2018,"Google, Facebook, Twitter face new House panel hearing $GOOG $GOOGL $FB $TWTR https://t.co/LvBc6dRUZx"
Wed Jun 13 05:23:18 +0000 2018,$FB $SHOP Facebook\'s Instagram Adds Yet Another E-Commerce Feature https://t.co/H1snJN8cqm
Wed Jun 13 05:23:15 +0000 2018,"$AMZN $FB $GOOG $GOOGL Amazon, Alphabet, and Facebook Shine in Mary Meeker\'s 2018 Internet Trends Report https://t.co/Vi23Six3fH"
Wed Jun 13 05:18:06 +0000 2018,RT @scottbudman: A group calling itself #FreedomFromFacebook flies a plane over the Facebook shareholder meeting.\\nSign reads \\u201cYou broke dem\\u2026
Wed Jun 13 05:05:25 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 04:29:53 +0000 2018,@politicalHEDGE I protested the @facebook shareholder meeting last week\\nRecommend all investors dump $FB stock\\nZuckerberg was just called before Congress to testify under oath like a Mafia don\\nTip of the iceberg- more scandal to come. Dump $FB while you can!\\n#MAGA https://t.co/UZljpqfjXb
Wed Jun 13 04:21:42 +0000 2018,#Facebook explains how the 2018 #Newsfeed prioritizes stories \\nhttps://t.co/2F5FvrbGg5 via @YahooFinance $FB
Wed Jun 13 04:06:36 +0000 2018,Facebook\'s Instagram is a Godzilla E-Commerce Feature @themotleyfool #stocks $FB https://t.co/V1fve048Ul
Wed Jun 13 03:50:55 +0000 2018,"Did Data Scandal sink #Facebook, the social networking website? https://t.co/8AEtGqPOOf $FB #Elliottwave"
Wed Jun 13 03:50:49 +0000 2018,$FB 25 March to client #Facebook provided a good opportunity to go long early this year at the blue box #elliottwave https://t.co/xWJXeBOthU
Wed Jun 13 03:39:57 +0000 2018,Facebook knows exactly how many times you\\u2019ve searched for your ex $FB - https://t.co/iZOafend4W
Wed Jun 13 03:21:45 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 02:50:43 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 02:46:32 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 02:39:17 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 02:11:14 +0000 2018,"$FB Amazon, Alphabet, and Facebook Shine in Mary Meeker\'s 2018 Internet Trends Report https://t.co/LZuWWFfKTg"
Wed Jun 13 02:11:13 +0000 2018,$FB Facebook\'s Instagram Adds Yet Another E-Commerce Feature https://t.co/UpiXMLa9Uf
Wed Jun 13 02:11:09 +0000 2018,$FB Facebook Looks to Attract Users With New Game Streaming Hub https://t.co/M3tX16VZ1U
Wed Jun 13 02:11:06 +0000 2018,$FB Why Did Facebook (FB) Stock Climb Monday? https://t.co/O2E4njKZNd
Wed Jun 13 02:11:05 +0000 2018,$FB Facebook\'s Instagram Could Generate Nearly $9 Billion in Sales This Year https://t.co/ItSIqMye8w
Wed Jun 13 01:59:14 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 01:49:50 +0000 2018,RT @Country_stock: Raymond James Trust Increased Its Facebook $FB Holding; Jhl Capital Group Has Increased Stake in Vale S A $VALE - https:\\u2026
Wed Jun 13 01:40:32 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 01:39:04 +0000 2018,"RT @msttrader: $FB not worth the risk in the 190s.. Wait for 3rd quarter,\\n\\nWait for $170 to Buy Facebook\\nhttps://t.co/HFACGWPGH1 https://t.\\u2026"
Wed Jun 13 01:28:00 +0000 2018,RT @MarketsUpChuck: $CMCSA $DIS $FB $GOOG $GOOGL $NFLX $T $VZ https://t.co/wnFZcL5YzC
Wed Jun 13 01:16:06 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 01:08:28 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 00:33:07 +0000 2018,RT @presiamapp: VERY IMPORTANT NEWS FROM https://t.co/52iIPbav4D.\\n#DeleteFacebook $fb #facebook https://t.co/5lDjLMs6q3
Wed Jun 13 00:18:48 +0000 2018,"Trumps Facebook strategy working for $FB as he posts the video to THEIR platform, rather than on https://t.co/Hg60gqnGrC or YouTube. https://t.co/TH3nIHWANX"
Wed Jun 13 23:55:07 +0000 2018,RT @jonnajarian: I trade throughout the show. At that moment I was selling upside calls in $EBAY @androsForm @HalftimeReport \\n$XLK https://\\u2026
Wed Jun 13 23:44:03 +0000 2018,Analysts Expect eBay Inc $EBAY Will Post Quarterly Sales of $2.67 Billion https://t.co/K4hILQ8EHp
Wed Jun 13 23:42:52 +0000 2018,Analysts Expect eBay Inc $EBAY Will Announce Earnings of $0.52 Per Share https://t.co/xvLPFounEH
Wed Jun 13 23:42:30 +0000 2018,$2.67 Billion in Sales Expected for eBay Inc $EBAY This Quarter https://t.co/5oySuhlgsC
Wed Jun 13 23:41:08 +0000 2018,$2.67 Billion in Sales Expected for eBay Inc $EBAY This Quarter https://t.co/8OxWkQGCTV
Wed Jun 13 23:04:41 +0000 2018,RT @jonnajarian: I trade throughout the show. At that moment I was selling upside calls in $EBAY @androsForm @HalftimeReport \\n$XLK https://\\u2026
Wed Jun 13 22:57:46 +0000 2018,"RT @androsForm: $EBAY will start selling products on a relatively new Middle Eastern e-commerce venture in the second half of the year, the\\u2026"
Wed Jun 13 22:25:34 +0000 2018,RT @jonnajarian: I trade throughout the show. At that moment I was selling upside calls in $EBAY @androsForm @HalftimeReport \\n$XLK https://\\u2026
Wed Jun 13 21:44:46 +0000 2018,"RT @androsForm: $EBAY will start selling products on a relatively new Middle Eastern e-commerce venture in the second half of the year, the\\u2026"
Wed Jun 13 21:33:42 +0000 2018,Top Shorted Stocks 06/13/18... 20. $XLP 76.19% 21. $EWT 76.17% 22. $ITB 75.36% 23. $LQD 74.44% 24. $EBAY 73.96% 25. $CPE 73.87%
Wed Jun 13 21:33:41 +0000 2018,Top Shorted Stocks 06/13/18... 22. $ITB 75.36% 23. $LQD 74.44% 24. $EBAY 73.96%... https://t.co/gVSqj9OWuV
Wed Jun 13 21:32:08 +0000 2018,RT @jonnajarian: I trade throughout the show. At that moment I was selling upside calls in $EBAY @androsForm @HalftimeReport \\n$XLK https://\\u2026
Wed Jun 13 20:33:24 +0000 2018,RT @jonnajarian: I trade throughout the show. At that moment I was selling upside calls in $EBAY @androsForm @HalftimeReport \\n$XLK https://\\u2026
Wed Jun 13 20:28:01 +0000 2018,$EBAY $PYPL Europe Has Its Silicon Valley Moment as Adyen Surges in Debut via https://t.co/jURZDymPXI
Wed Jun 13 20:00:43 +0000 2018,RT @androsForm: @jonnajarian made my day man thanks! I\\u2019m still in the OCT18 $41s nice move on the JULs though $EBAY https://t.co/7S22pSPy9C
Wed Jun 13 19:12:15 +0000 2018,RT @jonnajarian: I trade throughout the show. At that moment I was selling upside calls in $EBAY @androsForm @HalftimeReport \\n$XLK https://\\u2026
Wed Jun 13 18:30:43 +0000 2018,"$EBAY: At/Below 200DaySMA 1Mo50%R[39.02]:6d, lm:-6, 3NearLo, 3mMv:-4, 11:6Accel-, tf:1000000, ch:-3.6%, oPop:-1.1%, bigFlt:933M"
Wed Jun 13 18:20:32 +0000 2018,@ROIChristie An all-stock offer from $EBAY for $QRTEA for $55/sh
Wed Jun 13 17:58:37 +0000 2018,#US Stocks: Educate $TAL-7.6%.Tax Prep $HRB-16.7%.Telco $VZ-2.3%. Entertain $DIS+2.6%.Ecom $EBAY-2.6%.Game S/w $EA+3.1%.Health care $AET+3.6%.Consulting $KFY+10.3%.Software $PVTL+29%.Food Svc $GRUB +2.9%.Medical $SYK+2.8%.Diverse $CSL-3.1%.Realty $PHM-5.7%.BFS $TREE-6.4%. $M-3.6%
Wed Jun 13 17:51:51 +0000 2018,RT @realsheepwolf: $FUSZ: LISTEN TO 33:41 SALESFORCE...hmmm FULLY FUNDED AND DEBT-FREE FOLKS\\nnFUSZ CEO Rory Cutaia presenting at LD Micro C\\u2026
Wed Jun 13 17:51:38 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48THINK $NFLX IS JUST A DVD BY MAIL SERVICE\\ud83e\\udd14\\n$AAPL JUST A COMPUTER MAKER\\ud83e\\udd14\\n$AMZN JUST A FLY BY NIGHT ONLINE RETAIL\\u2026
Wed Jun 13 17:40:25 +0000 2018,Poshmark recently valued at more than $600 million\\u2014is growing at more than 65% a year. Watch out $EBAY. Great profile by @Priyasideas https://t.co/Jp6OXkN8Nv
Wed Jun 13 16:49:00 +0000 2018,"RT @androsForm: $EBAY will start selling products on a relatively new Middle Eastern e-commerce venture in the second half of the year, the\\u2026"
Wed Jun 13 16:43:22 +0000 2018,According to this stock analysis strategy $EBAY is Bullish https://t.co/U2ksLBkqPW https://t.co/hQgmsq6YIL
Wed Jun 13 16:31:51 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48PRIMED FOR BIG TIME SUCCESS\\n\\ud83d\\udc8eFORBES GREAT READ: CLICK BELOW\\n\\u26a1\\ufe0fFREE $FUSZ DD: https://t.co/Euvg8dFQ7L\\n\\n$AXON $GL\\u2026
Wed Jun 13 16:23:02 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48PRIMED FOR BIG TIME SUCCESS\\n\\ud83d\\udc8eFORBES GREAT READ: CLICK BELOW\\n\\u26a1\\ufe0fFREE $FUSZ DD: https://t.co/Euvg8dFQ7L\\n\\n$AXON $GL\\u2026
Wed Jun 13 16:17:36 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48PRIMED FOR BIG TIME SUCCESS\\n\\ud83d\\udc8eFORBES GREAT READ: CLICK BELOW\\n\\u26a1\\ufe0fFREE $FUSZ DD: https://t.co/Euvg8dFQ7L\\n\\n$AXON $GL\\u2026
Wed Jun 13 16:07:02 +0000 2018,\\ud83d\\udc49 $FUSZ \\ud83d\\udc48PRIMED FOR BIG TIME SUCCESS\\n\\ud83d\\udc8eFORBES GREAT READ: CLICK BELOW\\n\\u26a1\\ufe0fFREE $FUSZ DD: https://t.co/Euvg8dFQ7L\\n\\n$AXON $GLMD $GALT $GERN $APHQF $FMCC $CBIS $SIRI $AMZN $NVDA $NFLX $ORCL $CRM $ZNGA $SAP $EBAY $PYPL $SNAP $FB $MSFT $AAPL $TWTR $QCOM $FOX $GE $BABA $NOK $SHLD $VZ
Wed Jun 13 16:04:04 +0000 2018,RT @realsheepwolf: $FUSZ: LISTEN TO 33:41 SALESFORCE...hmmm FULLY FUNDED AND DEBT-FREE FOLKS\\nnFUSZ CEO Rory Cutaia presenting at LD Micro C\\u2026
Wed Jun 13 16:03:44 +0000 2018,RT @realsheepwolf: $FUSZ  $FUSZ WAS 3.04 IN APRIL AND NOW GROSSLY OVERSOLD AT .68\\nWHO DOESN\'T LIKE BUYING BOTTOMS \\n\\n$AAPL $AXON $GLMD $CVSI\\u2026
Wed Jun 13 16:02:57 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48THINK $NFLX IS JUST A DVD BY MAIL SERVICE\\ud83e\\udd14\\n$AAPL JUST A COMPUTER MAKER\\ud83e\\udd14\\n$AMZN JUST A FLY BY NIGHT ONLINE RETAIL\\u2026
Wed Jun 13 16:02:11 +0000 2018,RT @androsForm: @jonnajarian made my day man thanks! I\\u2019m still in the OCT18 $41s nice move on the JULs though $EBAY https://t.co/7S22pSPy9C
Wed Jun 13 16:01:16 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48SEVERELY UNDERVALUED\\n#WEALTHBUILDER #MILLIONAIREMINDSET\\n\\ud83e\\udd84FREE $FUSZ DD: https://t.co/Euvg8dofgd\\n\\n$AVGR $AKER $O\\u2026
Wed Jun 13 16:01:05 +0000 2018,"RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48 IT JUST DOESN\'T GET MUCH SIMPLER\\n\\ud83e\\udd84 OVERSOLD AND UNDERVALUED $3.04 04/18 NOW .68\\n\\u26a1\\ufe0fMASSIVE BOUNCE IN PROGRESS,\\u2026"
Wed Jun 13 16:00:08 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ  \\ud83d\\udc48 RIDICULOUSLY CHEAP....OVERSOLD PERIOD #UNDERVALUED\\n\\u26a1\\ufe0fFREE $FUSZ DD: https://t.co/Euvg8dofgd\\n\\n$AAPL $SIRI $SBU\\u2026
Wed Jun 13 15:45:16 +0000 2018,RT @cfromhertz: TTG Early Aggressive #option activity:\\ncalls: $GSK $AMD $DIS $ENDP $EBAY $ROKU $OPK $ZIOP $SPWR $ABBV \\nputs: $SPY $SQ $SMH\\u2026
Wed Jun 13 15:41:22 +0000 2018,TTG Early Aggressive #option activity:\\ncalls: $GSK $AMD $DIS $ENDP $EBAY $ROKU $OPK $ZIOP $SPWR $ABBV \\nputs: $SPY $SQ $SMH $ATVI https://t.co/sI5CdQUI8M
Wed Jun 13 15:28:04 +0000 2018,"Mid-morning highest % below OR 30-min low, Up/Avg Gain of today\'s three 30-min bars &amp; trading range % (Min $5 &amp; 500 Option Vol): $VIAB $FLO $EBAY $PG $TWX $SCHW $T $MDT https://t.co/AQUkPoLZT9"
Wed Jun 13 14:57:13 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48THINK $NFLX IS JUST A DVD BY MAIL SERVICE\\ud83e\\udd14\\n$AAPL JUST A COMPUTER MAKER\\ud83e\\udd14\\n$AMZN JUST A FLY BY NIGHT ONLINE RETAIL\\u2026
Wed Jun 13 14:55:01 +0000 2018,RT @realsheepwolf: $FUSZ: LISTEN TO 33:41 SALESFORCE...hmmm FULLY FUNDED AND DEBT-FREE FOLKS\\nnFUSZ CEO Rory Cutaia presenting at LD Micro C\\u2026
Wed Jun 13 14:54:38 +0000 2018,$FUSZ: LISTEN TO 33:41 SALESFORCE...hmmm FULLY FUNDED AND DEBT-FREE FOLKS\\nnFUSZ CEO Rory Cutaia presenting at LD Micro Conference 06/05/2018 https://t.co/WZIWBYimHW via @YouTube\\n\\n$AAPL $SIRI $SBUX $ZNGA $BABA $QCOM $MSFT $AMZN $NVDA $NFLX $PYPL $PAY $EBAY $SNAP $FB $TWTR $HEAR
Wed Jun 13 14:36:01 +0000 2018,Short sale volume (not short interest) for $V at 2018-06-12 is 32%. https://t.co/53ikgagw5Q $UEPS 26% $FIS 43% $PAY 44% $EBAY 52%
Wed Jun 13 14:35:30 +0000 2018,Top Implied #Volatility Gainers $DHI $NFLX $EBAY $XLP $YELP $XLB $BMY $NXPI $VZ $DIS $ROKU $GME $GSK $ETSY https://t.co/3rvsfTPuHO
Wed Jun 13 14:30:28 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ  \\ud83d\\udc48 RIDICULOUSLY CHEAP....OVERSOLD PERIOD #UNDERVALUED\\n\\u26a1\\ufe0fFREE $FUSZ DD: https://t.co/Euvg8dofgd\\n\\n$AAPL $SIRI $SBU\\u2026
Wed Jun 13 14:17:15 +0000 2018,$EBAY calls bought into weakness
Wed Jun 13 14:09:00 +0000 2018,\\ud83d\\udc49 $FUSZ \\ud83d\\udc48THINK $NFLX IS JUST A DVD BY MAIL SERVICE\\ud83e\\udd14\\n$AAPL JUST A COMPUTER MAKER\\ud83e\\udd14\\n$AMZN JUST A FLY BY NIGHT ONLINE RETAILER\\ud83e\\udd14\\n\\u26a1\\ufe0fTIME TO THINK ABOUT $FUSZ AGAIN\\n\\ud83e\\udd84FREE $FUSZ DD: https://t.co/Euvg8dofgd\\n\\n$AXON $CRM $ORCL $ZNGA $SEII $SIRI $SBUX $FOX $PYPL $EBAY $CODX $HEAR $GE https://t.co/lWMGEHQ4Up
Wed Jun 13 13:53:20 +0000 2018,$EBAY just popped up on QuickRunner scanner. We will see if the momentum holds.
Wed Jun 13 13:43:29 +0000 2018,RT @realsheepwolf: $FUSZ  $FUSZ WAS 3.04 IN APRIL AND NOW GROSSLY OVERSOLD AT .68\\nWHO DOESN\'T LIKE BUYING BOTTOMS \\n\\n$AAPL $AXON $GLMD $CVSI\\u2026
Wed Jun 13 13:43:20 +0000 2018,"RT @realsheepwolf: $FUSZ: Shakeout In The Cloud: Success Of Salesforce, Oracle, SAP And Workday Triggering SaaS Consolidation via @forbes h\\u2026"
Wed Jun 13 13:40:30 +0000 2018,"$EBAY damn opening gaps... jumped over my stop loss order and made the distance between buy level and stop level twice as big. Wonder what I could change to fix this, or if I should just accept this happens sometimes..."
Wed Jun 13 13:38:42 +0000 2018,RT @realsheepwolf: \\ud83d\\udc49 $FUSZ \\ud83d\\udc48SEVERELY UNDERVALUED\\n#WEALTHBUILDER #MILLIONAIREMINDSET\\n\\ud83e\\udd84FREE $FUSZ DD: https://t.co/Euvg8dofgd\\n\\n$AVGR $AKER $O\\u2026
Wed Jun 13 13:34:20 +0000 2018,"\\ud83d\\udc49 $FUSZ \\ud83d\\udc48 IT JUST DOESN\'T GET MUCH SIMPLER\\n\\ud83e\\udd84 OVERSOLD AND UNDERVALUED $3.04 04/18 NOW .68\\n\\u26a1\\ufe0fMASSIVE BOUNCE IN PROGRESS, HUGE UPSIDE\\n\\n$AAPL $SIRI $SBUX $ZNGA $BABA $QCOM $MSFT $AMZN $NVDA $NFLX $PYPL $PAY $EBAY $SNAP $FB $TWTR $HEAR $SNES $AVGR $GERN $BOXL $HBAN $VALE $INTC https://t.co/uJLTtbCoqf"
Wed Jun 13 13:33:48 +0000 2018,RT @androsForm: @jonnajarian made my day man thanks! I\\u2019m still in the OCT18 $41s nice move on the JULs though $EBAY https://t.co/7S22pSPy9C
Wed Jun 13 13:28:46 +0000 2018,RT @realsheepwolf: $FUSZ  $FUSZ WAS 3.04 IN APRIL AND NOW GROSSLY OVERSOLD AT .68\\nWHO DOESN\'T LIKE BUYING BOTTOMS \\n\\n$AAPL $AXON $GLMD $CVSI\\u2026
Wed Jun 13 13:24:30 +0000 2018,"$FUSZ: Shakeout In The Cloud: Success Of Salesforce, Oracle, SAP And Workday Triggering SaaS Consolidation via @forbes https://t.co/s8nPCI4wEc\\n\\n$AAPL $AXON $GLMD $CVSI $QCOM $MU $CRM $SAP $NVDA $NFLX $EBAY $PYPL $INTC $JD $BABA $LNGG $SIRI $KSHB $ZNGA $SNAP $TWTR $FB $ENPH $FOX"
Wed Jun 13 13:23:45 +0000 2018,RT @realsheepwolf: $FUSZ  $FUSZ WAS 3.04 IN APRIL AND NOW GROSSLY OVERSOLD AT .68\\nWHO DOESN\'T LIKE BUYING BOTTOMS \\n\\n$AAPL $AXON $GLMD $CVSI\\u2026
Wed Jun 13 13:22:56 +0000 2018,$FUSZ  $FUSZ WAS 3.04 IN APRIL AND NOW GROSSLY OVERSOLD AT .68\\nWHO DOESN\'T LIKE BUYING BOTTOMS \\n\\n$AAPL $AXON $GLMD $CVSI $QCOM $MU $CRM $SAP $NVDA $NFLX $EBAY $PYPL $INTC $JD $MU $OPCL $BABA $LNGG $SIRI $KSHB $CSCO $ZNGA $SNAP $TWTR $FB $SAGE $CHK $SWN $VZ $SHLD $PLAY $ENPH $FOX
