Tue Jun 19 23:29:04 +0000 2018,"Insider Selling: Walmart Inc $WMT Director Sells 760,377 Shares of Stock https://t.co/SeOnoxJgzQ"
Tue Jun 19 12:33:47 +0000 2018,"@facebook Is great at NLP translations globally, but not good at scrubbing NLP.  Build it or Buy it?  $FB should Buy it.  #NLP #MachineLearning #AI \\nhttps://t.co/FVe7jPUBot"
Tue Jun 19 12:28:40 +0000 2018,How several major acquisitions have helped Google and Facebook on their way to unprecedented dominance over the advertising supply chain. (@sarafischer @axios) $GOOG $FB #axiosmediatrends https://t.co/HgvwsjQWS7
Tue Jun 19 12:19:36 +0000 2018,"@Facebook exec Hugo Barra on stage talking about Oculus Go, wireless VR headset. Built on Qualcomm mobile platform with Xiaomi as hardware partner, that is new news and very interesting. $FB $QCOM #CES2018"
Tue Jun 19 12:10:13 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 12:09:36 +0000 2018,Facebook INC $FB Holder National Pension Service Boosted Its Stake by $4.83 Million as Shares Declined - https://t.co/T38iC1ECmv
Tue Jun 19 12:06:02 +0000 2018,National Pension Service Holds Position in Facebook INC $FB https://t.co/lrWWjew8yo
Tue Jun 19 12:05:44 +0000 2018,Facebook INC $FB Position Maintained by National Pension Service https://t.co/A1KCamwzqq
Tue Jun 19 12:04:26 +0000 2018,Facebook INC $FB Stock Declined While National Pension Service Boosted Stake by $4.83 Million https://t.co/XPEpyBycY0
Tue Jun 19 11:18:34 +0000 2018,"It\'s hard to argue with a free service amid the worries about data security. - Facebook $FB Shares Hit All-Time High, flirts with $200.  https://t.co/16tk06tI4N via @BarronsOnline"
Tue Jun 19 10:14:49 +0000 2018,These eight #tech stocks are worth &gt;$5 trillion. \\ud83d\\udcb8\\nStory via @businessinsider https://t.co/kJfiyTm0bC\\n\\n$GOOG $FB $AMZN $AAPL $MSFT $BABA $BIDU
Tue Jun 19 09:27:24 +0000 2018,Logan Capital Management Holding in Facebook Cl A $FB Trimmed as Share Value Declined; Realogy Hldgs $RLGY Stake Has Raised by Okumus Fund Management Ltd - https://t.co/jZ187hW9iJ
Tue Jun 19 09:23:50 +0000 2018,Systematic Financial Management LP Increased Holding in Commercial Metals $CMC by $29.38 Million; Iconiq Capital Has Cut Facebook $FB Holding by $1.04 Million as Market Value Declined - https://t.co/ZB7fhFjSF5
Tue Jun 19 09:22:15 +0000 2018,RT @larimer: UPDATE: I checked my $FB Ad Prefs and found new alcohol themed \\u201cinterests\\u201d had been added. Once I removed these the ads stoppe\\u2026
Tue Jun 19 09:14:11 +0000 2018,RT @larimer: UPDATE: I checked my $FB Ad Prefs and found new alcohol themed \\u201cinterests\\u201d had been added. Once I removed these the ads stoppe\\u2026
Tue Jun 19 08:22:39 +0000 2018,$FB https://t.co/ZTIcvYqTx7 Pot. intermed top in Uptrend INTRAWEEK 60m-15m-4m combo chart #Facebook #Trading https://t.co/4OlEzWfwR9
Tue Jun 19 08:19:42 +0000 2018,"Facebook, Inc. Common Stock $FB CEO Mark Zuckerberg Sells 517,000 Shares of Stock https://t.co/G54I3jjRiG"
Tue Jun 19 05:24:59 +0000 2018,"Investors Sell Facebook, Inc. Common Stock $FB on Strength on Insider Selling https://t.co/odkGwDu5WS"
Tue Jun 19 04:28:22 +0000 2018,RT @ZColemanHK: Pacific nations seek to curb #Facebook political chatter https://t.co/XssPVQychN  @MichaelFieldNZ $FB
Tue Jun 19 04:01:59 +0000 2018,"RT @AswathDamodaran: $FB has had the most successful opening act in corporate history, but its business is built on its users trading priva\\u2026"
Tue Jun 19 03:28:16 +0000 2018,RT @ZColemanHK: Pacific nations seek to curb #Facebook political chatter https://t.co/XssPVQychN  @MichaelFieldNZ $FB
Tue Jun 19 03:25:28 +0000 2018,Pacific nations seek to curb #Facebook political chatter https://t.co/XssPVQychN  @MichaelFieldNZ $FB
Tue Jun 19 03:22:15 +0000 2018,$FB Is Facebook-Google Ad Duopoly Under Threat as Amazon Gains Steam? https://t.co/KXaGEHUUKX
Tue Jun 19 03:22:13 +0000 2018,"$FB Is Snap Inc Making the Same Mistake Facebook, Inc. Did? https://t.co/J760yRt5F7"
Tue Jun 19 03:22:11 +0000 2018,"$FB The Zacks Analyst Blog Highlights: NIKE, Under Armour, Alphabet and Facebook https://t.co/xUbJjUflhH"
Tue Jun 19 02:58:20 +0000 2018,"Google and Facebook propel jump in global ad-spending forecast https://t.co/m393R0DGum via @WSJ\\n\\nFacebook and Google collectively grew revenue 31%, Mr. Letang said. \\u201cThat\\u2019s pretty amazing.\\u201d  $GOOGL $FB"
Tue Jun 19 02:40:21 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 02:27:32 +0000 2018,Facebook used AI for an eye-opening trick $FB - https://t.co/1uqiVSNjLI
Tue Jun 19 02:25:27 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 01:54:56 +0000 2018,"Traders Sell Facebook, Inc. Common Stock $FB on Strength on Insider Selling https://t.co/lzyCvgnYB1"
Tue Jun 19 01:53:23 +0000 2018,"Investors Sell Shares of Facebook, Inc. Common Stock $FB on Strength Following Insider Selling https://t.co/JIjgsakMz1"
Tue Jun 19 01:40:50 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 01:39:11 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 01:25:29 +0000 2018,$FB Facebook ...Investors still likin\' the Book-o-Faces. Nice little pop today. https://t.co/zmdJBXCR38
Tue Jun 19 01:23:06 +0000 2018,RT @charliebilello: Wall Street Week... \\nFacebook: All-Time High \\nAmazon: All-Time High \\nNetflix: All-Time High \\nNasdaq 100: All-Time High\\u2026
Tue Jun 19 01:01:50 +0000 2018,"Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the app when it launches. This is awesome. Just shows that the people really need an alternative to Facebook! Thank you all!\\nhttps://t.co/zToj6GnaSt\\n$fb https://t.co/xMp6keGwbD"
Tue Jun 19 00:51:10 +0000 2018,"#Facebook, #Alphabet, #Tesla, #Intel, #Biogen, #Gilead, #Oil - The Daily Rundown June 18 https://t.co/2TFS8WhSIv via @jay110429 $fb $spy $googl $tsla $intc $biib $gild $oild $xlf $bkx"
Tue Jun 19 00:37:35 +0000 2018,RT @TopStockAlerts1: Snap CEO Evan Spiegel says company is better positioned to navigate a data scandal like Facebook\'s\\n\\n$SNAP $FB \\n\\nhttps:\\u2026
Tue Jun 19 00:34:46 +0000 2018,Snap CEO Evan Spiegel says company is better positioned to navigate a data scandal like Facebook\'s\\n\\n$SNAP $FB \\n\\nhttps://t.co/4GOgvlVmK5
Tue Jun 19 00:28:51 +0000 2018,It\'s not the first time #Facebook throttled my typing back and I\'m betting you it won\'t be the last. It\'s stupid. It\'s like they think I\'m copying the book War And Peace from start to end. $FB
Tue Jun 19 00:27:44 +0000 2018,But to flag ME for typing too fast? As a spammer?! Its outrageous #Facebook $FB Who is the anti spam mechanism going to war against again?! Not my fault I feel engaged to use facebook as a rebuttal forum for Team Trumpsters and fellow Delusional Mets Fans AND Flat Earthers
Tue Jun 19 00:24:31 +0000 2018,Facebook\'s screening for political ads is mistakenly blocking some news sites  $FB - https://t.co/1Yw2YKJKVD
Tue Jun 19 00:24:06 +0000 2018,Frustrated with facebook. I\'m getting a \\
Tue Jun 19 23:00:50 +0000 2018,"Get #NASDAQ and #NYSE buy and sell signals https://t.co/xY1yfYKK4Q $IBM, $EBAY, $TD, $BAC, $CMG, $GE, $JPM, $TSLA"
Tue Jun 19 19:44:45 +0000 2018,"For non US residents, Have you stopped using any of these US based services in response to the irrational behaviour of the Trump administration? Thank you. $AMZN $COST $EBAY $NFLX #BoycottUSA #BoycottUSProducts #NAFTA"
Tue Jun 19 19:01:13 +0000 2018,"$SNAP 13.26 - Snapchat is snapping back!!! Analyst bashing on a red start got a great buying opportunity, imo! The next FB or Twitter! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG \\n$DIS  $IBM $MSFT $BIDU $VZ\\n$ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS https://t.co/g8XRKQVz3f"
Tue Jun 19 19:00:06 +0000 2018,A bullish Big MAC (Bullish) has occurred at 2:30 PM Jun 19 at  $39.18 on eBay Inc (EBAY) $EBAY Want to Earn(Register here): https://t.co/W9nC2boU6l
Tue Jun 19 18:18:01 +0000 2018,Short sale volume (not short interest) for $AMZN at 2018-06-18 is 56%. https://t.co/YZjq8XgqP8 $OSTK 59% $BKS 50% $EBAY 39% $MELI 23%
Tue Jun 19 17:44:03 +0000 2018,$EBAY bullish engulfing candle forming on the daily
Tue Jun 19 17:35:20 +0000 2018,Kingstown Capital Management LP Trimmed Holding in Ebay $EBAY as Valuation Declined; Berkley W R Stake in Healthequity $HQY Lowered as Stock Rose - https://t.co/8iSwFksjkL
Tue Jun 19 17:21:45 +0000 2018,RT @surinotes: $EBAY is green... small ABC Bullish Pattern + eSIX https://t.co/NGPwQGdiRy
Tue Jun 19 17:05:05 +0000 2018,RT @surinotes: $EBAY is green... small ABC Bullish Pattern + eSIX https://t.co/NGPwQGdiRy
Tue Jun 19 16:42:08 +0000 2018,wow nice recovery $EBAY
Tue Jun 19 16:35:10 +0000 2018,Stock Charts Today: #TradeWars Escalate $CY $DB $QQQ $EBAY $DIA $GLD $SPY $UUP $TWTR $BTC.X https://t.co/Zn3j8imT3U
Tue Jun 19 16:29:16 +0000 2018,$EBAY is green... small ABC Bullish Pattern + eSIX https://t.co/NGPwQGdiRy
Tue Jun 19 16:00:07 +0000 2018,A bullish Big MAC (Bullish) has occurred at 11:15 AM Jun 19 at  $39.03 on eBay Inc (EBAY) $EBAY Want to Earn(Register here): https://t.co/W9nC2boU6l
Tue Jun 19 15:51:45 +0000 2018,U.S. Tech Stocks Show Clear Signs Of Irrational Behavior #investing#finance#trading\\n$DBX $ADYEN $NFLX $SNAP $CMCSA $DIS $EBAY $FOXA $PYPL https://t.co/QxHPFcVoc7
Tue Jun 19 15:16:39 +0000 2018,$NVCN BID/ASK for Neovasc at support levels $XOM $SIRI $BABA $EBAY $FXI $VIPS $EWZ $IWM $MGM $RSX $USO $WFT $XLI $PBR $EGO $ORCL $AUY $SQ $ESV $IBN $NVDA $CX $XLK $XLU $EFA $WFC $AMAT $VWO $SBUX $XLP $CBL $C $ABEV $CLNS $UAA $SPXU $XLE  $JD $WDC #cryptocurrency #StayGreen #DOW https://t.co/IqBb0vYSfI
Tue Jun 19 15:15:43 +0000 2018,added $EBAY calls undervalued https://t.co/N0mzXljlMx
Tue Jun 19 15:14:31 +0000 2018,$NVCN Neovasc manipulated? Currently at support levels $XOM $SIRI $BABA $EBAY $FXI $VIPS $EWZ $IWM $MGM $RSX $USO $WFT $XLI $PBR $EGO $ORCL $AUY $SQ $ESV $IBN $NVDA $CX $XLK $XLU $EFA $WFC $AMAT $VWO $SBUX $XLP $CBL $C $ABEV $CLNS $UAA $SPXU $XLE  $JD $WDC\\nhttps://t.co/zxrKa7rfQF
Tue Jun 19 14:58:18 +0000 2018,BidaskClub Downgrades eBay $EBAY to Sell https://t.co/C9EeJGioJT
Tue Jun 19 14:57:19 +0000 2018,BidaskClub Downgrades eBay $EBAY to Sell https://t.co/aAOQmOhUZU
Tue Jun 19 14:24:53 +0000 2018,Is anyone still using $EBAY? Notable underperformance as of late. It continues to grow its earnings and sales. Chart via @MarketSmith https://t.co/sw4o38bVei
Tue Jun 19 14:05:10 +0000 2018,Who will buy all the fake knockoff China crap on $EBAY? #TradeWar
Tue Jun 19 13:53:06 +0000 2018,$TMXN.01+25% - Flying today! Their new California MMJ Delivery Company is OPEN for BUSINESS! https://t.co/KjV3yNArah $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG \\n$DIS  $IBM $MSFT $BIDU $VZ\\n$ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS $CAVM $CERN $CHKP https://t.co/pS9tcaisWv
Tue Jun 19 13:20:48 +0000 2018,$TMXN.008 -Nice! Their new California MMJ Delivery Company is OPEN for BUSINESS! https://t.co/KjV3yNArah $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG \\n$DIS  $IBM $MSFT $BIDU $VZ\\n$ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS $CAVM $CERN $CHKP $CSCO $CTXS https://t.co/BMN1xHjgNw
Tue Jun 19 13:10:56 +0000 2018,Some open interest changes for Tuesday 6/19/2018\\nCall- $EBAY $LUV $NDLS $HBAN $FTI $APRN $TRXC \\nPut- $CRZO $XOM $BABA $BBBY $BIG $SNAP $TEVA\\n\\nHope it helps! https://t.co/Dx1HKoO48e
Tue Jun 19 13:01:16 +0000 2018,Big Call Activity https://t.co/sx0hZ1WEaH \\u2026 $JNJ $NDLS $VRX $WFC $CSCO $USB $WGO $NBL $SOHU $SORL $PGNX $GM $KRO $GME $FEYE $CBS $TDOC $TRXC $BAC $EGC $ALLY $MS $VALE $BOX $EBAY $EL $TWTR $DHI $DVN $JPM $FB $BABA
Tue Jun 19 11:01:10 +0000 2018,{Video} Swing Trading Today | Trade Wars Escalate  \\n$SPY\\n$DIA\\n$QQQ\\n$GLD\\n$UUP\\n$DB\\n$BTC.X\\n$CY\\n$EBAY\\n$TWTR   https://t.co/ZCG6lKTFW1 https://t.co/COOgYKMUgc
Tue Jun 19 10:15:38 +0000 2018,$EBAY high OI range is 35.00 to 38.00 for option expiration 07/06/2018 #maxpain #options https://t.co/eSMNOd8FTT https://t.co/zVPZQcQ941
Tue Jun 19 08:10:01 +0000 2018,$EBAY $F The Retro Volvo EveryoneForgot Could Be the Best One to Buy Now via https://t.co/jURZDymPXI
Tue Jun 19 07:38:12 +0000 2018,$EBAY UNABLE TO BREAK THROUGH KEY RESISTANCE LEVEL: https://t.co/PDj7nFplfU\\nSentiment: Neutral #EBAY #eBay
Tue Jun 19 06:14:54 +0000 2018,RT @jonnajarian: I trade throughout the show. At that moment I was selling upside calls in $EBAY @androsForm @HalftimeReport \\n$XLK https://\\u2026
Tue Jun 19 04:23:21 +0000 2018,$EBAY Option Order Flow Sentiment is 63.7% Bullish. https://t.co/V8iang45WR
Tue Jun 19 04:13:23 +0000 2018,$EBAY I.V. in the ATM 18-Jan-19 Retreats -0.4%. Options Imply a Move of \\u00b115.0% with 213 Days to Exp https://t.co/eoP0dOp6K1
Tue Jun 19 03:45:24 +0000 2018,RT @trulyamazinghq: The AMAZING CONFIDENT SMILE!\\nNo expensive dentist needed!\\nhttps://t.co/6nDvSZiAgx \\n\\n$KMI $SDRL $NSAV $KO $MYDX $BABA $G\\u2026
Tue Jun 19 03:13:09 +0000 2018,RT @androsForm: @jonnajarian made my day man thanks! I\\u2019m still in the OCT18 $41s nice move on the JULs though $EBAY https://t.co/7S22pSPy9C
Tue Jun 19 02:54:48 +0000 2018,EPS for eBay Inc. $EBAY Expected At $0.39 https://t.co/mSG0CzHqdY
Tue Jun 19 02:53:51 +0000 2018,EPS for eBay Inc. $EBAY Expected At $0.39 https://t.co/hXTxV53hBf
Tue Jun 19 02:50:00 +0000 2018,$AMZN $EBAY MercariJumps 77% in Tokyo Debut After $1.2 Billion IPO via https://t.co/jURZDymPXI
Tue Jun 19 01:40:49 +0000 2018,RT @androsForm: @jonnajarian made my day man thanks! I\\u2019m still in the OCT18 $41s nice move on the JULs though $EBAY https://t.co/7S22pSPy9C
Tue Jun 19 00:12:29 +0000 2018,RT @androsForm: @jonnajarian made my day man thanks! I\\u2019m still in the OCT18 $41s nice move on the JULs though $EBAY https://t.co/7S22pSPy9C
Tue Jun 19 00:08:58 +0000 2018,The AMAZING CONFIDENT SMILE!\\nNo expensive dentist needed!\\nhttps://t.co/6nDvSZiAgx \\n\\n$KMI $SDRL $NSAV $KO $MYDX $BABA $GTHP $DCTH $PG $PAOG $SIRI $EBAY $APYP $FUTL $SSOF $MO $MVES $WFT $FCX $HAL $NOUV $VLDI $ECA $CBIS $TXHD $ESV $MDLZ $PTOP $XOM $CCTR $SBUX $LLNW $CLKA $PBR $QCOM https://t.co/1GjJ4K9MAS
Tue Jun 19 23:58:36 +0000 2018,Hubs by Amazon is not just a logistics play. It\'s a #cx play that provides #Amazon the opportunity to touch and influence their target customer \\u2013 anybody who purchases goods online \\u2013 at the lucrative final step of their purchasing journey. Brilliant. $AMZN https://t.co/F0gxt38wOg
Tue Jun 19 23:10:46 +0000 2018,@jimcramer My man Jim Cramer sees splits for Amazon and GOOGL?? I Love it!! $AMZN $GOOGL
Tue Jun 19 22:54:31 +0000 2018,@jimcramer Amazon is such an incredible company! $AMZN
Tue Jun 19 22:43:10 +0000 2018,Investors Sell https://t.co/epOEpsxn8T $AMZN on Strength $AMZN https://t.co/Xwszf2ofZy
Tue Jun 19 22:31:49 +0000 2018,RT @AndriaCheng: Amazon\'s deal with Marriott is not just about having Alexa as the new \'It\\
Tue Jun 19 22:31:17 +0000 2018,@amazon  is incapable of doing anything right. Even the \'Executive Customer Relations\' team screws up a screwup. @JeffBezos $amzn
Tue Jun 19 22:26:54 +0000 2018,Amazon\'s deal with Marriott is not just about having Alexa as the new \'It\\
Tue Jun 19 22:16:01 +0000 2018,RT @alphadogspartan: Where is $plug? @PlugPowerInc  @fedex  Fedex @amazon Amazon $Amzn $fdx\\n\\n the largest #hydrogen utility fleet #fuelcell\\u2026
Tue Jun 19 22:13:01 +0000 2018,$AMZN Amazon Echo Coming To Marriott Hotels via https://t.co/jURZDymPXI
Tue Jun 19 22:10:54 +0000 2018,#Amazon launches an #Alexa system for #hotels | TechCrunch https://t.co/WuO72T4uHy #investing #AI $AMZN https://t.co/a2xUIw6Ann
Tue Jun 19 22:01:52 +0000 2018,Amazon Alexa Embraced By Marriott For Use In Select Hotels $AMZN $MAR @investors https://t.co/Q5ryTvyn0s
Tue Jun 19 21:56:07 +0000 2018,Still no @Google /Alphabet $GOOGL nor @Amazon $AMZN in the Dow $DJI
Tue Jun 19 21:54:13 +0000 2018,"Removing @generalelectric I can understand, but replacing it with @Walgreens? Come on @SPDJIndices! @amazon would\\u2019ve been a much more logical choice. This is why no one who knows anything about market indices relies on the #Dow as an indicator. $AMZN $GE $WBA https://t.co/rNvrtNjLfZ"
Tue Jun 19 21:53:10 +0000 2018,RT @LeverageShares: Amazon reports over $2 billion in first quarter from rapidly growing advertising platform. Can Amazon contend with ad g\\u2026
Tue Jun 19 21:38:02 +0000 2018,Where is $plug? @PlugPowerInc  @fedex  Fedex @amazon Amazon $Amzn $fdx\\n\\n the largest #hydrogen utility fleet #fuelcell #fleet #Europe https://t.co/8YaIiUFUqD
Tue Jun 19 21:34:33 +0000 2018,@realDonaldTrump Dear Mr. #President: Why do you continue to allow #JeffBezos to become the #RichestManInTheWorld while he and #AMAZON cheat the #US #PostOffice and destroy #America\'s great #retail companies? https://t.co/cnq6y0iFw1 \\u2026 #AMZN $AMZN #POTUS #DonaldTrump #Trump #USPS
Tue Jun 19 21:28:03 +0000 2018,Amazon reports over $2 billion in first quarter from rapidly growing advertising platform. Can Amazon contend with ad giants Google and Facebook? $AMZN\\nhttps://t.co/oPq5jooRab https://t.co/2iNvyBl0MF
Tue Jun 19 21:19:32 +0000 2018,$AMZN Here\'s a map of every Whole Foods where you\'ll get an Amazon Prime discount https://t.co/hC20HtVnxc
Tue Jun 19 21:05:03 +0000 2018,The #FakeNews #WashingtonPost led by #billionaire and #RichestManInTheWorld #JeffBezos of #Amazon continues its relentless attack on #POTUS #DonaldTrump everyday.   https://t.co/wMknENm67H @realDonaldTrump #AMZN $AMZN #MainStreamMedia #BoycottAmazon #BoycottBezos #StopTheMadness
Tue Jun 19 20:52:11 +0000 2018,"#Zulily, which goes head to head with #Amazon in ecommerce, has moved most of its software onto Amazon\'s cloud; the flash-sale retailer bets #AWS\'s strengths merit throwing capital in the direction of a rival.\\n@mattmday @seattletimes @seatimesbiz $ZU $AMZN\\nhttps://t.co/WqHpUGFsWI"
Tue Jun 19 20:51:25 +0000 2018,RT @arshammm: Is this foreshadowing? $AMZN #amazon https://t.co/ArrZFAlw4N
Tue Jun 19 20:39:36 +0000 2018,Gideon Capital Advisors Has Trimmed Position in Prudential Financial $PRU as Market Value Declined; Dorsal Capital Management Has Cut Its Holding in Amazon Com $AMZN by $65.12 Million - https://t.co/RdoEBwIGEe
Tue Jun 19 20:18:15 +0000 2018,$AMZN CLIMBS TO HIGHEST CLOSE SINCE INCEPTION: https://t.co/woq8GhBDlG\\nSentiment: Bullish #AMZN #Amazon
Tue Jun 19 20:17:28 +0000 2018,RT @WillardOfOdds: $AAPL pulling back while $AMZN keeps running higher.  \\nAmazon 72 Billion behind Apple for biggest market cap in the worl\\u2026
Tue Jun 19 20:12:01 +0000 2018,$MAR $AMZN $GOOGL:\\n\\nAmazon Alexa Embraced By Marriott For Use In Select Hotels:\\n\\nhttps://t.co/oIb1v5O4Xi
Tue Jun 19 20:05:26 +0000 2018,Amazon will now give your building a locker to receive packages! [VIDEO] \\n#Amazon #Hub $AMZN\\n\\nhttps://t.co/bbFYqYCTVF
Tue Jun 19 19:55:18 +0000 2018,@ddayen https://t.co/fek4tGjhwK  \\nsaw a movie w some gals using an app to view sea-men who\'d been in their hotel room prior to them.  hahahahaaaa\\n$amzn $nflx  the stuff we learn from amazon and netflix\\n$gs $bac $hlf
Tue Jun 19 19:55:06 +0000 2018,"$AMZN (AMZN) Amazon stock strong close w/ continuation breakout watch, analysis https://t.co/BcMbEa23ge https://t.co/irci3fjSwW"
Tue Jun 19 19:46:23 +0000 2018,$AMZN China &amp; US have robust growth economies!  Any correction will be addressed with dip buying! Amazon is the wave of the future!
Tue Jun 19 19:41:26 +0000 2018,$AMZN Nasdaq &amp; major Tech Stocks (Amazon/Netflix) are really starting to display resiliency  with respect to market black swans!
Tue Jun 19 19:38:59 +0000 2018,$AAPL pulling back while $AMZN keeps running higher.  \\nAmazon 72 Billion behind Apple for biggest market cap in the world. \\nAKA \\
Tue Jun 19 19:38:21 +0000 2018,"RT @_jeffbuchanan: CVS Health Expands Delivery, as Pharmacies Try to Keep Amazon at Bay $CVS $WBA $AMZN https://t.co/09ykMyrLw7 via @Xconomy"
Tue Jun 19 19:32:00 +0000 2018,$AMZN Keep the faith !!. Tesla is down -17 points But Netflix/Amazon green!!
Tue Jun 19 19:31:36 +0000 2018,Is this foreshadowing? $AMZN #amazon https://t.co/ArrZFAlw4N
Tue Jun 19 19:31:29 +0000 2018,"RT @MattRosoff: Hey Amazon Prime members. Wanna see if you\'ll qualify for some sweet, sweet discounts at your local Whole Foods? Check this\\u2026"
Tue Jun 19 19:30:24 +0000 2018,"Hey Amazon Prime members. Wanna see if you\'ll qualify for some sweet, sweet discounts at your local Whole Foods? Check this map from @saracsalinas + @johnwschoen $AMZN https://t.co/7NRtQnIoVb"
Tue Jun 19 19:22:04 +0000 2018,"Amazon is opening its fourth fulfillment center in Michigan. The company says the 850,000 square foot facility in Gaines Township will employ more than 1,000 full-time workers. $AMZN\\n\\nhttps://t.co/6jeIHlG5O6"
Tue Jun 19 19:14:16 +0000 2018,"RT @_jeffbuchanan: CVS Health Expands Delivery, as Pharmacies Try to Keep Amazon at Bay $CVS $WBA $AMZN https://t.co/09ykMyrLw7 via @Xconomy"
Tue Jun 19 19:11:33 +0000 2018,"RT @DanBehringer221: Only one reason @JeffBezos would allow Amazon to split its $1,700 share price -- the chance to join the Dow Jones indu\\u2026"
Tue Jun 19 18:59:36 +0000 2018,52-Week High Alert: Trading today\\u2019s movement in https://t.co/Y0RjKTlbcx\\u00a0$AMZN https://t.co/ysKV2uOXJX https://t.co/Io2nYWjlaR
Tue Jun 19 18:57:00 +0000 2018,The Hidden Cost of Trying to Land Amazon\'s HQ2 $AMZN #digital #retail #ecommerce \\nhttps://t.co/13BDgvFjZR
Tue Jun 19 18:51:49 +0000 2018,$AMZN is bullish within 6 months timeframe. Performed by @StockMetrixApp #Amazon #Stocks #Trading https://t.co/KoFyn82364
Tue Jun 19 18:32:27 +0000 2018,"RT @DanBehringer221: Only one reason @JeffBezos would allow Amazon to split its $1,700 share price -- the chance to join the Dow Jones indu\\u2026"
Tue Jun 19 18:26:10 +0000 2018,Amazon $AMZN market alert: all-time high @ 1727 https://t.co/uLN5V9AWFG
Tue Jun 19 18:24:44 +0000 2018,"Only one reason @JeffBezos would allow Amazon to split its $1,700 share price -- the chance to join the Dow Jones industrial average. https://t.co/GKBc21OIcU @themotleyfool #StockMarket  $AMZN #investing https://t.co/OMFiOb5shT"
Tue Jun 19 18:24:28 +0000 2018,"$AMZN Remarkable!! First 25 Billion tariffs, then 100 Billion tariffs!! My God!! I think Amazon/Nasdaq  can now  rally during a Recession!!"
Tue Jun 19 18:15:32 +0000 2018,"As https://t.co/h3hXepxwnc $AMZN Stock Value Rose, Windward Capital Management Company Has Trimmed Its Stake by $14.09 Million; Hamlin Capital Management Has Trimmed Intel $INTC Stake by $3.64 Million https://t.co/9ii3E3DfsF"
Tue Jun 19 18:10:20 +0000 2018,$AMZN Yea Nasdaq &amp; Techs stocks (Primarily Amazon) are developing a synergy that can address market black swans!
Tue Jun 19 17:55:35 +0000 2018,"CVS Health Expands Delivery, as Pharmacies Try to Keep Amazon at Bay $CVS $WBA $AMZN https://t.co/09ykMyrLw7 via @Xconomy"
Tue Jun 19 17:26:32 +0000 2018,"#Alphabet\'s new stake in https://t.co/lESUpzGKD0 may seem odd, but it\'s clear that $GOOG sees $AMZN as an important global rival: \\u201cShopping is the new search\\u201d. Lest you think @amazon has an insurmountable edge here remember Alphabet has $103 billion in cash vs $AMZN\'s $17 billion"
Tue Jun 19 17:18:05 +0000 2018,"RT @financialbuzz: CVS Announces Prescription Drug Delivery\\n#CVSPharmacy, #CVSHEalth, $NYSE, #NewYorkStockExchange, $CVS, #prescriptiondrug\\u2026"
Tue Jun 19 17:17:58 +0000 2018,RT @carlquintanilla: Amazon announces \\
Tue Jun 19 17:04:58 +0000 2018,"CVS Announces Prescription Drug Delivery\\n#CVSPharmacy, #CVSHEalth, $NYSE, #NewYorkStockExchange, $CVS, #prescriptiondrug, #medication, #delivery, #Amazon, $AMZN, #pharmacy, #KevinHourican, #Patients, #AmazonPrime https://t.co/lPL2Kx3Ld6"
Tue Jun 19 17:00:46 +0000 2018,$AMZN \\
Tue Jun 19 16:50:17 +0000 2018,"RT @OptionsHawk: Amazon $AMZN recovering off morning lows with 1,650 June 29th (W) $1710 calls bought to open $25.50 to $26, over $4M in ca\\u2026"
Tue Jun 19 16:45:22 +0000 2018,Amazon launches Alexa for Hospitality to bring voice-enabled services to hotel guests $AMZN \\n\\nhttps://t.co/pOouTlRAY8
Tue Jun 19 16:23:55 +0000 2018,$AMZN BookWatch: This critical look at central bankers is Amazon\\u2019s best business book of 2018 (so far) https://t.co/k4LKvmy5SV
Tue Jun 19 16:23:44 +0000 2018,$AMZN $CVS CVS introduces prescription drug delivery as it braces for Amazon\'s possible entry https://t.co/sr19y49zRe
Tue Jun 19 16:23:41 +0000 2018,"$AMZN $FDX $UPS Amazon wants a hand in all your deliveries, unveils last-step option for FedEx, UPS and private mail https://t.co/GKqbkOHMlX"
Tue Jun 19 16:16:25 +0000 2018,Amazon launching Alexa for Hospitality in Marriott hotels $AMZN https://t.co/NlhMIaVtva
